t_us,j1_us,j2_us,j3_us,j4_us,j5_us,g_us
10786356,1656,947,1414,1524,1722,1183
10866348,1655,943,1405,1524,1718,1183
10946356,1654,939,1396,1524,1713,1183
11026348,1653,934,1386,1524,1708,1183
11106348,1653,930,1377,1524,1703,1183
11186364,1652,925,1367,1524,1698,1183
11266356,1651,920,1358,1524,1693,1183
11346348,1650,916,1348,1524,1688,1183
11426352,1649,911,1338,1524,1683,1183
11506356,1648,907,1330,1524,1679,1183
12086356,1646,906,1328,1524,1677,1183
12166356,1643,906,1329,1524,1678,1183
12246352,1641,907,1331,1524,1679,1183
12326360,1638,909,1334,1524,1681,1183
12406356,1635,910,1337,1524,1682,1183
12486348,1632,911,1339,1524,1683,1183
12566356,1629,913,1342,1524,1685,1183
12646348,1627,914,1345,1524,1686,1183
12726356,1624,915,1347,1524,1688,1183
12806356,1621,916,1350,1524,1689,1183
12886360,1618,918,1352,1524,1690,1183
12966352,1615,919,1355,1524,1691,1183
13046360,1612,920,1357,1524,1693,1183
13126356,1609,921,1360,1524,1694,1183
13206356,1606,922,1362,1524,1695,1183
13286348,1604,923,1364,1524,1696,1183
13366352,1601,924,1366,1524,1697,1183
13446352,1598,926,1369,1524,1699,1183
13526352,1595,927,1371,1524,1700,1183
13606356,1592,928,1373,1524,1701,1183
13686352,1589,928,1375,1524,1702,1183
13766360,1586,929,1377,1524,1703,1183
13846356,1583,930,1379,1524,1704,1183
13926348,1580,931,1380,1524,1705,1183
14006356,1577,932,1382,1524,1706,1183
14086356,1574,933,1384,1524,1707,1183
14166360,1571,934,1386,1524,1707,1183
14246356,1568,935,1387,1524,1708,1183
14326348,1565,935,1389,1524,1709,1183
14406360,1562,936,1390,1524,1710,1183
14486360,1559,937,1392,1524,1711,1183
14566352,1556,937,1393,1524,1711,1183
14646348,1553,938,1395,1524,1712,1183
14726348,1550,939,1396,1524,1713,1183
14806352,1547,939,1397,1524,1713,1183
14886360,1544,940,1399,1524,1714,1183
14966356,1541,940,1400,1524,1715,1183
15046360,1538,941,1401,1524,1715,1183
15126380,1535,941,1402,1524,1716,1183
15206372,1532,942,1403,1524,1716,1183
15286380,1529,942,1404,1524,1717,1183
15366368,1526,943,1405,1524,1717,1183
15446376,1523,943,1406,1524,1718,1183
15526348,1520,944,1406,1524,1718,1183
15606356,1517,944,1407,1524,1719,1183
15686352,1514,944,1408,1524,1719,1183
15766352,1511,945,1409,1524,1719,1183
15846360,1508,945,1409,1524,1720,1183
15926356,1505,945,1410,1524,1720,1183
16006356,1502,946,1410,1524,1720,1183
16086348,1499,946,1411,1524,1721,1183
16166356,1496,946,1411,1524,1721,1183
16246348,1493,946,1412,1524,1721,1183
16326356,1490,946,1412,1524,1721,1183
16406352,1487,946,1412,1524,1721,1183
16486356,1484,947,1412,1524,1721,1183
16566352,1481,947,1413,1524,1721,1183
16646352,1478,947,1413,1524,1722,1183
16726348,1475,947,1413,1524,1722,1183
16806356,1472,947,1413,1524,1722,1183
16886348,1469,947,1413,1524,1722,1183
16966356,1466,947,1413,1524,1721,1183
17046360,1463,948,1416,1524,1723,1183
17626352,1463,952,1423,1524,1727,1183
17706356,1462,956,1432,1524,1732,1183
17786352,1462,960,1441,1524,1737,1183
17866352,1462,965,1451,1524,1742,1183
17946360,1462,969,1460,1524,1746,1183
18026352,1462,973,1469,1524,1751,1183
18106360,1462,978,1479,1524,1756,1183
18186352,1462,982,1488,1524,1761,1183
18266348,1462,986,1497,1524,1766,1183
18346356,1462,990,1506,1524,1771,1183
18426352,1462,994,1515,1524,1776,1183
18506352,1462,999,1524,1524,1781,1183
18586360,1462,1003,1533,1524,1785,1183
18666356,1462,1007,1541,1524,1790,1183
18746352,1462,1011,1550,1524,1795,1183
18826348,1462,1015,1559,1524,1800,1183
18906352,1462,1018,1568,1524,1805,1183
18986348,1461,1022,1576,1524,1809,1183
19066348,1461,1026,1585,1524,1814,1183
19146348,1461,1030,1593,1524,1819,1183
19226348,1461,1034,1602,1524,1824,1183
19306360,1461,1037,1610,1524,1828,1183
19386356,1461,1041,1618,1524,1833,1183
19466348,1461,1044,1627,1524,1838,1183
19546352,1461,1048,1635,1524,1843,1183
19626348,1461,1052,1643,1524,1847,1183
19706348,1461,1055,1651,1524,1852,1183
19786356,1461,1058,1660,1524,1857,1183
19866356,1461,1062,1668,1524,1861,1183
19946352,1461,1065,1676,1524,1866,1183
20026348,1461,1068,1684,1524,1871,1183
20106364,1461,1072,1692,1524,1876,1183
20186348,1461,1075,1700,1524,1880,1183
20266360,1460,1078,1708,1524,1885,1183
20346360,1460,1081,1716,1524,1890,1183
20426356,1460,1084,1724,1524,1895,1183
20506356,1460,1087,1731,1524,1899,1183
20586364,1460,1090,1739,1524,1904,1183
20666376,1460,1093,1747,1524,1909,1183
20746376,1460,1096,1755,1524,1914,1183
20826372,1460,1099,1762,1524,1919,1183
20906368,1460,1102,1770,1524,1923,1183
20986380,1460,1105,1778,1524,1928,1183
21066352,1460,1107,1785,1524,1933,1183
21146348,1460,1110,1793,1524,1938,1183
21226360,1460,1113,1800,1524,1943,1183
21306356,1459,1115,1808,1524,1948,1183
21386364,1459,1118,1815,1524,1953,1183
21466348,1459,1120,1822,1524,1958,1183
21546356,1459,1123,1830,1524,1963,1183
21626352,1459,1125,1837,1524,1968,1183
21706348,1459,1127,1845,1524,1973,1183
21786360,1459,1129,1852,1524,1978,1183
21866356,1459,1131,1859,1524,1983,1183
21946356,1459,1133,1866,1524,1988,1183
22026352,1459,1135,1873,1524,1994,1183
22106356,1459,1137,1881,1524,1999,1183
22186352,1458,1139,1888,1524,2004,1183
22266352,1458,1141,1895,1524,2010,1183
22346348,1458,1142,1902,1524,2015,1183
22426360,1458,1144,1909,1524,2020,1183
22506360,1459,1145,1915,1524,2025,1183
23086348,1461,1146,1918,1524,2028,1183
23166360,1465,1146,1919,1524,2028,1183
23246356,1469,1146,1919,1524,2029,1183
23326356,1474,1146,1920,1524,2029,1183
23406356,1478,1146,1920,1524,2029,1183
23486352,1483,1146,1919,1524,2029,1183
23566352,1487,1146,1919,1524,2029,1183
23646356,1492,1146,1919,1524,2029,1183
23726356,1496,1146,1919,1524,2028,1183
23806352,1501,1146,1919,1524,2028,1183
23886352,1505,1146,1918,1524,2028,1183
23966352,1510,1146,1918,1524,2027,1183
24046356,1514,1146,1917,1524,2027,1183
24126352,1519,1146,1917,1524,2027,1183
24206352,1523,1146,1916,1524,2026,1183
24286360,1528,1145,1916,1524,2026,1183
24366348,1532,1145,1915,1524,2025,1183
24446360,1536,1145,1914,1524,2025,1183
24526360,1541,1145,1913,1524,2024,1183
24606356,1545,1145,1913,1524,2023,1183
24686356,1550,1145,1912,1524,2023,1183
24766352,1554,1144,1911,1524,2022,1183
24846352,1559,1144,1910,1524,2021,1183
24926356,1563,1144,1909,1524,2020,1183
25006356,1567,1144,1908,1524,2019,1183
25086356,1572,1143,1906,1524,2018,1183
25166356,1576,1143,1905,1524,2017,1183
25246356,1580,1143,1904,1524,2017,1183
25326352,1585,1143,1903,1524,2016,1183
25406352,1589,1142,1901,1524,2014,1183
25486352,1593,1142,1900,1524,2013,1183
25566356,1598,1142,1898,1524,2012,1183
25646360,1602,1141,1897,1524,2011,1183
25726356,1606,1141,1895,1524,2010,1183
25806356,1611,1141,1894,1524,2009,1183
25886352,1615,1140,1892,1524,2007,1183
25966348,1619,1140,1890,1524,2006,1183
26046360,1623,1139,1889,1524,2005,1183
26126356,1628,1139,1887,1524,2003,1183
26206360,1632,1138,1885,1524,2002,1183
26286356,1636,1138,1883,1524,2001,1183
26366352,1640,1137,1881,1524,1999,1183
26446348,1644,1137,1879,1524,1998,1183
26526360,1648,1136,1877,1524,1996,1183
26606352,1652,1136,1875,1524,1994,1183
26686348,1656,1135,1873,1524,1993,1183
26766360,1661,1135,1870,1524,1991,1183
26846364,1665,1134,1868,1524,1990,1183
26926360,1669,1133,1866,1524,1988,1183
27006356,1673,1133,1863,1524,1986,1183
27086356,1677,1132,1861,1524,1984,1183
27166356,1681,1131,1858,1524,1983,1183
27246352,1685,1130,1856,1524,1981,1183
27326348,1689,1130,1853,1524,1979,1183
27406360,1692,1129,1851,1524,1977,1183
27486360,1696,1128,1848,1524,1975,1183
27566360,1700,1127,1845,1524,1973,1183
27646356,1704,1127,1842,1524,1971,1183
27726356,1708,1126,1840,1524,1969,1183
27806352,1712,1125,1837,1524,1968,1183
27886352,1715,1124,1834,1524,1965,1183
27966348,1719,1123,1831,1524,1963,1183
28046348,1722,1126,1830,1524,1960,1183
28626364,1723,1134,1832,1524,1953,1183
28706360,1723,1144,1834,1524,1946,1183
28786372,1723,1154,1837,1524,1938,1183
28866356,1723,1165,1840,1524,1931,1183
28946356,1723,1175,1842,1524,1923,1183
29026356,1723,1186,1845,1524,1914,1183
29106356,1723,1197,1847,1524,1906,1183
29186356,1723,1207,1850,1524,1898,1183
29266352,1723,1218,1852,1524,1889,1183
29346348,1723,1229,1854,1524,1881,1183
29426348,1723,1239,1856,1524,1872,1183
29506348,1723,1250,1858,1524,1863,1183
29586356,1723,1260,1859,1524,1855,1183
29666356,1723,1271,1861,1524,1846,1183
29746360,1723,1281,1863,1524,1837,1183
29826360,1723,1292,1864,1524,1828,1183
29906360,1723,1302,1865,1524,1818,1183
29986356,1723,1313,1866,1524,1809,1183
30066356,1723,1323,1867,1524,1800,1183
30146356,1723,1333,1868,1524,1791,1183
30226356,1723,1343,1869,1524,1781,1183
30306356,1723,1353,1870,1524,1772,1183
30386364,1723,1363,1870,1524,1762,1183
30466348,1723,1373,1870,1524,1753,1183
30546360,1723,1376,1870,1524,1750,1183
31126348,1723,1371,1870,1524,1755,1183
31206360,1723,1362,1870,1524,1763,1183
31286360,1723,1353,1870,1524,1772,1183
31366352,1723,1343,1869,1524,1781,1183
31446352,1723,1333,1868,1524,1791,1183
31526348,1723,1323,1867,1524,1800,1183
31606348,1723,1313,1866,1524,1809,1183
31686352,1723,1302,1865,1524,1818,1183
31766348,1723,1292,1864,1524,1828,1183
31846348,1723,1281,1863,1524,1837,1183
31926356,1723,1271,1861,1524,1846,1183
32006352,1723,1260,1859,1524,1855,1183
32086360,1723,1250,1858,1524,1863,1183
32166356,1723,1239,1856,1524,1872,1183
32246356,1723,1229,1854,1524,1881,1183
32326356,1723,1218,1852,1524,1889,1183
32406356,1723,1207,1850,1524,1898,1183
32486352,1723,1197,1847,1524,1906,1183
32566348,1723,1186,1845,1524,1914,1183
32646352,1723,1175,1842,1524,1923,1183
32726352,1723,1165,1840,1524,1931,1183
32806352,1723,1154,1837,1524,1938,1183
32886352,1723,1143,1834,1524,1946,1183
32966348,1723,1133,1831,1524,1954,1183
33046360,1722,1125,1827,1524,1957,1183
33126356,1721,1121,1821,1524,1956,1183
33206360,1720,1118,1814,1524,1952,1183
33286352,1718,1115,1808,1524,1948,1183
33366348,1716,1113,1801,1524,1943,1183
33446360,1715,1111,1794,1524,1939,1183
33526348,1713,1108,1787,1524,1934,1183
33606360,1712,1106,1780,1524,1930,1183
33686356,1710,1103,1773,1524,1925,1183
33766352,1709,1101,1766,1524,1921,1183
33846356,1707,1098,1759,1524,1916,1183
33926360,1706,1095,1752,1524,1912,1183
34006356,1704,1093,1745,1524,1908,1183
34086352,1703,1090,1737,1524,1903,1183
34166356,1701,1087,1730,1524,1899,1183
34246356,1700,1084,1723,1524,1894,1183
34326352,1698,1081,1716,1524,1890,1183
34406352,1697,1078,1708,1524,1885,1183
34486356,1696,1075,1701,1524,1881,1183
34566360,1694,1072,1694,1524,1877,1183
34646356,1693,1069,1686,1524,1872,1183
34726356,1692,1066,1679,1524,1868,1183
34806348,1690,1063,1671,1524,1863,1183
34886360,1689,1060,1664,1524,1859,1183
34966356,1688,1057,1656,1524,1855,1183
35046356,1687,1054,1648,1524,1850,1183
35126360,1685,1050,1641,1524,1846,1183
35206352,1684,1047,1633,1524,1841,1183
35286348,1683,1044,1625,1524,1837,1183
35366360,1682,1040,1617,1524,1833,1183
35446356,1680,1037,1610,1524,1828,1183
35526352,1679,1034,1602,1524,1824,1183
35606352,1678,1030,1594,1524,1819,1183
35686356,1677,1027,1586,1524,1815,1183
35766356,1676,1023,1578,1524,1810,1183
35846348,1675,1019,1570,1524,1806,1183
35926360,1674,1016,1561,1524,1801,1183
36006356,1672,1012,1553,1524,1797,1183
36086356,1671,1008,1545,1524,1792,1183
36166352,1670,1005,1537,1524,1788,1183
36246352,1669,1001,1528,1524,1783,1183
36326348,1668,997,1520,1524,1779,1183
36406356,1667,993,1512,1524,1774,1183
36486360,1666,989,1503,1524,1769,1183
36566352,1665,985,1494,1524,1765,1183
36646360,1664,981,1486,1524,1760,1183
36726352,1663,977,1477,1524,1756,1183
36806348,1662,973,1468,1524,1751,1183
36886356,1661,969,1460,1524,1746,1183
36966356,1660,965,1451,1524,1741,1183
37046352,1659,960,1442,1524,1737,1183
37126352,1658,956,1433,1524,1732,1183
37206360,1657,952,1424,1524,1727,1183
37286352,1656,947,1414,1524,1722,1183
37366360,1655,943,1405,1524,1718,1183
37446352,1654,939,1396,1524,1713,1183
37526360,1653,934,1386,1524,1708,1183
37606360,1653,930,1377,1524,1703,1183
37686356,1652,925,1367,1524,1698,1183
37766356,1651,920,1358,1524,1693,1183
37846348,1650,916,1348,1524,1688,1183
37926356,1649,911,1338,1524,1683,1183
38006352,1648,907,1330,1524,1679,1183
38586348,1646,906,1328,1524,1677,1183
38666360,1643,906,1329,1524,1678,1183
38746356,1641,907,1331,1524,1679,1183
38826352,1638,909,1334,1524,1681,1183
38906360,1635,910,1337,1524,1682,1183
38986356,1632,911,1339,1524,1683,1183
39066356,1629,913,1342,1524,1685,1183
39146352,1627,914,1345,1524,1686,1183
39226360,1624,915,1347,1524,1688,1183
39306352,1621,916,1350,1524,1689,1183
39386356,1618,918,1352,1524,1690,1183
39466348,1615,919,1355,1524,1691,1183
39546356,1612,920,1357,1524,1693,1183
39626352,1609,921,1360,1524,1694,1183
39706356,1606,922,1362,1524,1695,1183
39786352,1604,923,1364,1524,1696,1183
39866356,1601,924,1366,1524,1697,1183
39946352,1598,926,1369,1524,1699,1183
40026356,1595,927,1371,1524,1700,1183
40106352,1592,928,1373,1524,1701,1183
40186360,1589,928,1375,1524,1702,1183
40266352,1586,929,1377,1524,1703,1183
40346352,1583,930,1379,1524,1704,1183
40426360,1580,931,1380,1524,1705,1183
40506356,1577,932,1382,1524,1706,1183
40586348,1574,933,1384,1524,1707,1183
40666360,1571,934,1386,1524,1707,1183
40746352,1568,935,1387,1524,1708,1183
40826348,1565,935,1389,1524,1709,1183
40906356,1562,936,1390,1524,1710,1183
40986352,1559,937,1392,1524,1711,1183
41066356,1556,937,1393,1524,1711,1183
41146348,1553,938,1395,1524,1712,1183
41226364,1550,939,1396,1524,1713,1183
41306356,1547,939,1397,1524,1713,1183
41386348,1544,940,1399,1524,1714,1183
41466356,1541,940,1400,1524,1715,1183
41546348,1538,941,1401,1524,1715,1183
41626356,1535,941,1402,1524,1716,1183
41706352,1532,942,1403,1524,1716,1183
41786360,1529,942,1404,1524,1717,1183
41866352,1526,943,1405,1524,1717,1183
41946360,1523,943,1406,1524,1718,1183
42026352,1520,944,1406,1524,1718,1183
42106356,1517,944,1407,1524,1719,1183
42186352,1514,944,1408,1524,1719,1183
42266352,1511,945,1409,1524,1719,1183
42346356,1508,945,1409,1524,1720,1183
42426352,1505,945,1410,1524,1720,1183
42506364,1502,946,1410,1524,1720,1183
42586348,1499,946,1411,1524,1721,1183
42666352,1496,946,1411,1524,1721,1183
42746360,1493,946,1412,1524,1721,1183
42826356,1490,946,1412,1524,1721,1183
42906352,1487,946,1412,1524,1721,1183
42986360,1484,947,1412,1524,1721,1183
43066356,1481,947,1413,1524,1721,1183
43146348,1478,947,1413,1524,1722,1183
43226356,1475,947,1413,1524,1722,1183
43306348,1472,947,1413,1524,1722,1183
43386356,1469,947,1413,1524,1722,1183
43466348,1466,947,1413,1524,1721,1183
43546356,1463,948,1416,1524,1723,1183
44126364,1463,952,1423,1524,1727,1183
44206356,1462,956,1432,1524,1732,1183
44286352,1462,960,1441,1524,1737,1183
44366360,1462,965,1451,1524,1742,1183
44446356,1462,969,1460,1524,1746,1183
44526348,1462,973,1469,1524,1751,1183
44606356,1462,978,1479,1524,1756,1183
44686352,1462,982,1488,1524,1761,1183
44766368,1462,986,1497,1524,1766,1183
44846348,1462,990,1506,1524,1771,1183
44926356,1462,994,1515,1524,1776,1183
45006352,1462,999,1524,1524,1781,1183
45086348,1462,1003,1533,1524,1785,1183
45166360,1462,1007,1541,1524,1790,1183
45246356,1462,1011,1550,1524,1795,1183
45326360,1462,1015,1559,1524,1800,1183
45406364,1462,1018,1568,1524,1805,1183
45486348,1461,1022,1576,1524,1809,1183
45566360,1461,1026,1585,1524,1814,1183
45646352,1461,1030,1593,1524,1819,1183
45726352,1461,1034,1602,1524,1824,1183
45806348,1461,1037,1610,1524,1828,1183
45886348,1461,1041,1618,1524,1833,1183
45966356,1461,1044,1627,1524,1838,1183
46046360,1461,1048,1635,1524,1843,1183
46126360,1461,1052,1643,1524,1847,1183
46206356,1461,1055,1651,1524,1852,1183
46286360,1461,1058,1660,1524,1857,1183
46366356,1461,1062,1668,1524,1861,1183
46446356,1461,1065,1676,1524,1866,1183
46526356,1461,1068,1684,1524,1871,1183
46606360,1461,1072,1692,1524,1876,1183
46686364,1461,1075,1700,1524,1880,1183
46766348,1460,1078,1708,1524,1885,1183
46846360,1460,1081,1716,1524,1890,1183
46926360,1460,1084,1724,1524,1895,1183
47006356,1460,1087,1731,1524,1899,1183
47086356,1460,1090,1739,1524,1904,1183
47166356,1460,1093,1747,1524,1909,1183
47246356,1460,1096,1755,1524,1914,1183
47326360,1460,1099,1762,1524,1919,1183
47406356,1460,1102,1770,1524,1923,1183
47486356,1460,1105,1778,1524,1928,1183
47566356,1460,1107,1785,1524,1933,1183
47646352,1460,1110,1793,1524,1938,1183
47726352,1460,1113,1800,1524,1943,1183
47806352,1459,1115,1808,1524,1948,1183
47886348,1459,1118,1815,1524,1953,1183
47966352,1459,1120,1822,1524,1958,1183
48046352,1459,1123,1830,1524,1963,1183
48126352,1459,1125,1837,1524,1968,1183
48206348,1459,1127,1845,1524,1973,1183
48286360,1459,1129,1852,1524,1978,1183
48366356,1459,1131,1859,1524,1983,1183
48446356,1459,1133,1866,1524,1988,1183
48526352,1459,1135,1873,1524,1994,1183
48606360,1459,1137,1881,1524,1999,1183
48686356,1458,1139,1888,1524,2004,1183
48766356,1458,1141,1895,1524,2010,1183
48846348,1458,1142,1902,1524,2015,1183
48926360,1458,1144,1909,1524,2020,1183
49006360,1459,1145,1915,1524,2025,1183
49586356,1461,1146,1918,1524,2028,1183
49666356,1465,1146,1919,1524,2028,1183
